"Downstream neuron","Sum","#Synapses with neuron 4601 A2R_pseudolooper3/4","#Synapses with Neuron 171223 A2L_pseudolooper3/4","#Synapses with Neuron 203347 A2R_pseudolooper3/4","#Synapses with neuron 258300 A2L_pseudolooper3/4","reviewed","node count"
"ALL (209 neurons)",211,36,86,30,59,"",""
"neuron 258300 A2L_pseudolooper3/4","3","0","3","0","0","0","1730"
"neuron 136243","1","0","0","1","0","0","1"
"neuron 136248","1","0","0","1","0","0","1"
"neuron 136253","1","0","0","1","0","0","1"
"neuron 290147","1","0","1","0","0","0","1"
"neuron 290152","1","0","1","0","0","0","1"
"neuron 291610","1","0","1","0","0","0","1"
"neuron 291615","1","0","1","0","0","0","1"
"neuron 291620","1","0","1","0","0","0","1"
"neuron 291627","1","0","1","0","0","0","1"
"neuron 291632","1","0","1","0","0","0","1"
"neuron 291639","1","0","1","0","0","0","1"
"neuron 291644","1","0","1","0","0","0","1"
"neuron 291651","1","0","1","0","0","0","1"
"neuron 291656","1","0","1","0","0","0","1"
"neuron 291662","1","0","1","0","0","0","1"
"neuron 291667","1","0","1","0","0","0","1"
"neuron 291672","1","0","1","0","0","0","1"
"neuron 291677","1","0","1","0","0","0","1"
"neuron 291683","1","0","1","0","0","0","1"
"neuron 291690","1","0","1","0","0","0","1"
"neuron 291696","1","0","1","0","0","0","1"
"neuron 291701","1","0","1","0","0","0","1"
"neuron 291747","1","0","1","0","0","0","1"
"neuron 291752","1","0","1","0","0","0","1"
"neuron 291758","1","0","1","0","0","0","1"
"neuron 291763","1","0","1","0","0","0","1"
"neuron 291769","1","0","1","0","0","0","1"
"neuron 291774","1","0","1","0","0","0","1"
"neuron 291779","1","0","1","0","0","0","1"
"neuron 291783","1","0","1","0","0","0","1"
"neuron 291797","1","0","1","0","0","0","1"
"neuron 291802","1","0","1","0","0","0","1"
"neuron 291808","1","0","1","0","0","0","1"
"neuron 291813","1","0","1","0","0","0","1"
"neuron 291820","1","0","1","0","0","0","1"
"neuron 291825","1","0","1","0","0","0","1"
"neuron 291831","1","0","1","0","0","0","1"
"neuron 291836","1","0","1","0","0","0","1"
"neuron 291848","1","0","1","0","0","0","1"
"neuron 291853","1","0","1","0","0","0","1"
"neuron 291858","1","0","1","0","0","0","1"
"neuron 291877","1","0","1","0","0","0","1"
"neuron 291882","1","0","1","0","0","0","1"
"neuron 291886","1","0","1","0","0","0","1"
"neuron 291892","1","0","1","0","0","0","1"
"neuron 291898","1","0","1","0","0","0","1"
"neuron 291903","1","0","1","0","0","0","1"
"neuron 291908","1","0","1","0","0","0","1"
"neuron 291914","1","0","1","0","0","0","1"
"neuron 291919","1","0","1","0","0","0","1"
"neuron 291926","1","0","1","0","0","0","1"
"neuron 291931","1","0","1","0","0","0","1"
"neuron 291936","1","0","1","0","0","0","1"
"neuron 291942","1","0","1","0","0","0","1"
"neuron 291947","1","0","1","0","0","0","1"
"neuron 291953","1","0","1","0","0","0","1"
"neuron 291958","1","0","1","0","0","0","1"
"neuron 291967","1","0","1","0","0","0","1"
"neuron 291972","1","0","1","0","0","0","1"
"neuron 291979","1","0","1","0","0","0","1"
"neuron 291984","1","0","1","0","0","0","1"
"neuron 291990","1","0","1","0","0","0","1"
"neuron 291996","1","0","1","0","0","0","1"
"neuron 292001","1","0","1","0","0","0","1"
"neuron 292007","1","0","1","0","0","0","1"
"neuron 293573","1","0","0","0","1","0","1"
"neuron 293578","1","0","0","0","1","0","1"
"neuron 293615","1","0","0","0","1","0","1"
"neuron 293620","1","0","0","0","1","0","1"
"neuron 293626","1","0","0","0","1","0","1"
"neuron 293631","1","0","0","0","1","0","1"
"neuron 293636","1","0","0","0","1","0","1"
"neuron 293642","1","0","0","0","1","0","1"
"neuron 293647","1","0","0","0","1","0","1"
"neuron 293652","1","0","0","0","1","0","1"
"neuron 293658","1","0","0","0","1","0","1"
"neuron 293663","1","0","0","0","1","0","1"
"neuron 293669","1","0","0","0","1","0","1"
"neuron 293674","1","0","0","0","1","0","1"
"neuron 293680","1","0","0","0","1","0","1"
"neuron 293685","1","0","0","0","1","0","1"
"neuron 293690","1","0","0","0","1","0","1"
"neuron 293696","1","0","0","0","1","0","1"
"neuron 293701","1","0","0","0","1","0","1"
"neuron 293706","1","0","0","0","1","0","1"
"neuron 293711","1","0","0","0","1","0","1"
"neuron 293718","1","0","0","0","1","0","1"
"neuron 293723","1","0","0","0","1","0","1"
"neuron 293728","1","0","0","0","1","0","1"
"neuron 293734","1","0","0","0","1","0","1"
"neuron 293739","1","0","0","0","1","0","1"
"neuron 293745","1","0","0","0","1","0","1"
"neuron 293750","1","0","0","0","1","0","1"
"neuron 293756","1","0","0","0","1","0","1"
"neuron 293761","1","0","0","0","1","0","1"
"neuron 293767","1","0","0","0","1","0","1"
"neuron 293772","1","0","0","0","1","0","1"
"neuron 293778","1","0","0","0","1","0","1"
"neuron 293783","1","0","0","0","1","0","1"
"neuron 293788","1","0","0","0","1","0","1"
"neuron 293794","1","0","0","0","1","0","1"
"neuron 293799","1","0","0","0","1","0","1"
"neuron 293805","1","0","0","0","1","0","1"
"neuron 293810","1","0","0","0","1","0","1"
"neuron 293815","1","0","0","0","1","0","1"
"neuron 293820","1","0","0","0","1","0","1"
"neuron 293831","1","0","0","0","1","0","1"
"neuron 293836","1","0","0","0","1","0","1"
"neuron 293869","1","0","0","0","1","0","1"
"neuron 293874","1","0","0","0","1","0","1"
"neuron 293880","1","0","0","0","1","0","1"
"neuron 293885","1","0","0","0","1","0","1"
"neuron 293890","1","0","0","0","1","0","1"
"neuron 293896","1","0","0","0","1","0","1"
"neuron 293901","1","0","0","0","1","0","1"
"neuron 293907","1","0","0","0","1","0","1"
"neuron 293912","1","0","0","0","1","0","1"
"neuron 293917","1","0","0","0","1","0","1"
"neuron 293923","1","0","0","0","1","0","1"
"neuron 293928","1","0","0","0","1","0","1"
"neuron 293934","1","0","0","0","1","0","1"
"neuron 293939","1","0","0","0","1","0","1"
"neuron 293946","1","0","0","0","1","0","1"
"neuron 293951","1","0","0","0","1","0","1"
"neuron 293993","1","0","1","0","0","0","1"
"neuron 294093","1","0","0","1","0","0","1"
"neuron 294098","1","0","0","1","0","0","1"
"neuron 294105","1","0","0","1","0","0","1"
"neuron 294110","1","0","0","1","0","0","1"
"neuron 294116","1","0","0","1","0","0","1"
"neuron 294121","1","0","0","1","0","0","1"
"neuron 294126","1","0","0","1","0","0","1"
"neuron 294132","1","0","0","1","0","0","1"
"neuron 294137","1","0","0","1","0","0","1"
"neuron 294143","1","0","0","1","0","0","1"
"neuron 294148","1","0","0","1","0","0","1"
"neuron 294154","1","0","0","1","0","0","1"
"neuron 294159","1","0","0","1","0","0","1"
"neuron 294164","1","0","0","1","0","0","1"
"neuron 294170","1","0","0","1","0","0","1"
"neuron 294175","1","0","0","1","0","0","1"
"neuron 294180","1","0","0","1","0","0","1"
"neuron 294186","1","0","0","1","0","0","1"
"neuron 294191","1","0","0","1","0","0","1"
"neuron 294196","1","0","0","1","0","0","1"
"neuron 294219","1","0","0","1","0","0","1"
"neuron 294224","1","0","0","1","0","0","1"
"neuron 294232","1","0","0","1","0","0","1"
"neuron 294237","1","0","0","1","0","0","1"
"neuron 294338","1","0","0","1","0","0","1"
"neuron 294343","1","0","0","1","0","0","1"
"neuron 294348","1","0","0","1","0","0","1"
"neuron 294680","1","0","1","0","0","0","1"
"neuron 294685","1","0","1","0","0","0","1"
"neuron 294690","1","0","1","0","0","0","1"
"neuron 294696","1","0","1","0","0","0","1"
"neuron 294701","1","0","1","0","0","0","1"
"neuron 294777","1","0","1","0","0","0","1"
"neuron 294803","1","0","1","0","0","0","1"
"neuron 294808","1","0","1","0","0","0","1"
"neuron 294815","1","0","1","0","0","0","1"
"neuron 294820","1","0","1","0","0","0","1"
"neuron 294825","1","0","1","0","0","0","1"
"neuron 294830","1","0","1","0","0","0","1"
"neuron 294836","1","0","1","0","0","0","1"
"neuron 294841","1","0","1","0","0","0","1"
"neuron 294846","1","0","1","0","0","0","1"
"neuron 294852","1","0","1","0","0","0","1"
"neuron 294857","1","0","1","0","0","0","1"
"neuron 294862","1","0","1","0","0","0","1"
"neuron 294869","1","0","1","0","0","0","1"
"neuron 294874","1","0","1","0","0","0","1"
"neuron 297164","1","1","0","0","0","0","1"
"neuron 297169","1","1","0","0","0","0","1"
"neuron 297183","1","1","0","0","0","0","1"
"neuron 297189","1","1","0","0","0","0","1"
"neuron 297194","1","1","0","0","0","0","2"
"neuron 297199","1","1","0","0","0","0","1"
"neuron 297210","1","1","0","0","0","0","1"
"neuron 297215","1","1","0","0","0","0","1"
"neuron 297220","1","1","0","0","0","0","1"
"neuron 297226","1","1","0","0","0","0","1"
"neuron 297231","1","1","0","0","0","0","1"
"neuron 297237","1","1","0","0","0","0","1"
"neuron 297242","1","1","0","0","0","0","1"
"neuron 297249","1","1","0","0","0","0","1"
"neuron 297260","1","1","0","0","0","0","1"
"neuron 297265","1","1","0","0","0","0","1"
"neuron 297271","1","1","0","0","0","0","1"
"neuron 297276","1","1","0","0","0","0","1"
"neuron 297288","1","1","0","0","0","0","1"
"neuron 297293","1","1","0","0","0","0","1"
"neuron 297298","1","1","0","0","0","0","1"
"neuron 297321","1","1","0","0","0","0","1"
"neuron 297326","1","1","0","0","0","0","1"
"neuron 297332","1","1","0","0","0","0","1"
"neuron 297337","1","1","0","0","0","0","1"
"neuron 297343","1","1","0","0","0","0","1"
"neuron 297348","1","1","0","0","0","0","1"
"neuron 297353","1","1","0","0","0","0","1"
"neuron 297359","1","1","0","0","0","0","1"
"neuron 297365","1","1","0","0","0","0","1"
"neuron 297370","1","1","0","0","0","0","1"
"neuron 297375","1","1","0","0","0","0","1"
"neuron 297398","1","1","0","0","0","0","1"
"neuron 297404","1","1","0","0","0","0","1"
"neuron 297482","1","1","0","0","0","0","1"
"neuron 297487","1","1","0","0","0","0","1"