"Upstream neuron","Sum","#Synapses with neuron 4601 A2R_pseudolooper3/4","#Synapses with Neuron 171223 A2L_pseudolooper3/4","#Synapses with Neuron 203347 A2R_pseudolooper3/4","#Synapses with neuron 258300 A2L_pseudolooper3/4","reviewed","node count"
"ALL (74 neurons)",228,45,45,77,61,"",""
"class iv md A2 left dorsal","40","4","9","17","10","82","797"
"class iv md A2 right dorsal","28","11","2","9","6","81","1236"
"neuron 77788","13","2","0","6","5","0","622"
"Neuron 72877 (A1 MD4 L)","12","0","4","6","2","0","1841"
"Neuron 21009","10","3","2","5","0","2","854"
"class iv md A2 left ventral","9","0","0","5","4","93","1159"
"Neuron 241083","8","4","0","2","2","0","348"
"class iv md A2 right ventral","7","7","0","0","0","88","825"
"neuron 1515","6","0","1","0","5","0","668"
"neuron 72844 putative basin 2 L","5","0","0","4","1","89","4065"
"Class iv md A2 left medial","4","0","0","2","2","89","937"
"class iv md A2 right medial","3","0","0","3","0","81","1124"
"neuron 12628","3","0","2","1","0","0","913"
"Neuron 69015 putative basin 2 R","3","2","1","0","0","83","4727"
"neuron 83745","3","0","1","0","2","0","288"
"neuron 126491","3","0","3","0","0","0","300"
"neuron 128728","3","0","0","3","0","0","265"
"Neuron 171223 A2L_pseudolooper3/4","3","0","0","0","3","4","1649"
"Neuron 3518","2","0","1","1","0","0","151"
"neuron 136259","2","2","0","0","0","0","554"
"neuron 136842","2","1","1","0","0","0","512"
"neuron 166387","2","0","0","0","2","0","328"
"neuron 174384","2","0","2","0","0","0","192"
"neuron 197062","2","0","1","1","0","64","1345"
"neuron 211777","2","0","0","2","0","0","481"
"Neuron 253532","2","0","0","0","2","82","926"
"neuron 294075","2","0","1","0","1","0","1"
"neuron 993","1","0","0","1","0","95","596"
"neuron 1202","1","1","0","0","0","0","499"
"neuron 1621","1","0","0","0","1","95","764"
"neuron 3512","1","0","0","1","0","0","524"
"Neuron 4140","1","0","1","0","0","0","515"
"neuron 4151","1","0","0","1","0","0","469"
"A2r_v'ch1","1","0","0","1","0","75","1177"
"neuron 25485","1","0","0","1","0","0","528"
"neuron 54415 putative basin 1 R","1","1","0","0","0","83","7042"
"neuron 56760 putative basin 3 L","1","0","0","1","0","94","3879"
"neuron 83171","1","0","0","1","0","0","322"
"neuron 88677","1","1","0","0","0","0","454"
"neuron 138042","1","1","0","0","0","0","839"
"neuron 148808","1","0","0","0","1","0","455"
"neuron 173067","1","0","0","0","1","0","20"
"neuron 217225","1","0","1","0","0","0","146"
"Neuron 219265_A2R_D&B","1","0","1","0","0","0","2279"
"Neuron 242583","1","0","0","0","1","0","522"
"Neuron 285148","1","1","0","0","0","91","379"
"neuron 291739","1","0","1","0","0","0","1"
"neuron 292036","1","0","1","0","0","0","1"
"Neuron 293200","1","0","0","0","1","0","38"
"neuron 293226","1","0","0","0","1","0","18"
"neuron 293583","1","0","0","0","1","0","1"
"neuron 293847","1","0","0","0","1","0","1"
"neuron 293970","1","0","0","0","1","0","1"
"neuron 294008","1","0","0","0","1","0","1"
"neuron 294041","1","0","0","0","1","0","1"
"neuron 294057","1","0","0","0","1","0","1"
"neuron 294469","1","0","0","1","0","0","2"
"neuron 294502","1","0","0","1","0","0","1"
"neuron 294521","1","0","0","1","0","0","1"
"neuron 294658","1","0","1","0","0","0","1"
"neuron 294706","1","0","1","0","0","0","1"
"neuron 294748","1","0","1","0","0","0","1"
"neuron 294760","1","0","1","0","0","0","1"
"neuron 294881","1","0","1","0","0","0","1"
"neuron 294892","1","0","1","0","0","0","1"
"neuron 294949","1","0","1","0","0","0","1"
"neuron 294994","1","0","1","0","0","0","3"
"neuron 296529","1","1","0","0","0","0","2"
"neuron 297138","1","0","0","0","1","0","1"
"neuron 297304","1","1","0","0","0","0","1"
"neuron 297380","1","1","0","0","0","0","1"
"neuron 297463","1","1","0","0","0","0","2"
"Neuron 298493","1","0","0","0","1","89","1332"
"Neuron 303377","1","0","1","0","0","0","234"